zone_id,avg_lat,avg_long
2,40.61470329184547,-73.83154411158795
8,40.777365222222215,-73.92315533333334
15,40.78637089655172,-73.78131479310343
23,40.60263075362318,-74.1684857246377
27,40.5623645652174,-73.89876676086958
39,40.63745554285713,-73.89423962857143
44,40.5273202142857,-74.23252751428575
46,40.849737333333344,-73.78022107142857
53,40.78346655555556,-73.84412902222223
90,40.74187611111111,-73.99520177777778
93,40.742843979166665,-73.8419898333333
99,40.57746999999999,-74.1864711458333
139,40.677820800000006,-73.7453758
150,40.58191262962963,-73.94369940740741
154,40.59423344791666,-73.91317684375001
155,40.612520253968256,-73.91526249206352
156,40.63405565909091,-74.16299134090907
184,40.86329194505495,-73.80653821978021
199,40.7904292,-73.88171030000001
203,40.65268172222221,-73.74261022222221
206,40.63895416923077,-74.10533876923076
208,40.820268253968266,-73.81822355555555
210,40.59085119444445,-73.93645377777779
213,40.81649216216217,-73.85239694594594
222,40.64593059999999,-73.88437595000002
252,40.790398348837215,-73.81917741860464
103,40.69934866666667,-74.04067416666668
118,40.59048954385965,-74.12685133333333
4,40.721906857142855,-73.97604328571428
125,40.726874099999996,-74.0068077
11,40.602602785714275,-74.00904464285715
55,40.57730890625,-73.98819484375001
57,40.75153685714286,-73.85414742857142
85,40.647746999999995,-73.95048868750001
124,40.65789965909091,-73.84665456818182
142,40.77118657142858,-73.98163914285715
211,40.7233895,-74.00195483333333
56,40.74079766666667,-73.85536691666665
58,40.84263752941177,-73.81885664705882
256,40.71044847058823,-73.95890800000001
62,40.666031555555556,-73.9463342777778
64,40.7575790425532,-73.74336370212765
76,40.65943528378379,-73.87830470270272
26,40.62848033333334,-73.9856875
79,40.72749425,-73.98659887500001
80,40.713249375000004,-73.9356608125
84,40.52639224528301,-74.19106626415098
86,40.602820857142845,-73.7589364
100,40.753091,-73.98909066666667
29,40.58037175,-73.960161125
133,40.64167305882353,-73.97654264705882
38,40.69616200000001,-73.73842888235295
52,40.685645625,-73.99770825
144,40.71970057142857,-73.99687728571429
102,40.7017482,-73.87754225714285
103,40.6900992,-74.04515
109,40.549118885714286,-74.14876894285712
110,40.54366683870968,-74.12810100000003
112,40.7288716521739,-73.95000904347827
117,40.59701759615385,-73.7869031923077
127,40.86663476470588,-73.91926047058823
128,40.8726775,-73.9217146111111
132,40.6438452089552,-73.79297695522386
149,40.60705521052631,-73.9453822631579
151,40.79565011111111,-73.96769211111112
161,40.756642444444445,-73.97795544444446
153,40.8758514,-73.9097568
182,40.83675742857143,-73.85954628571429
183,40.84941500000001,-73.83154833333333
229,40.755867,-73.964972
193,40.763133812499994,-73.93929074999998
207,40.76404825,-73.8999575
223,40.777000218750004,-73.90361240624999
226,40.73745015217391,-73.92341406521741
228,40.655790090909086,-74.01043409090909
236,40.77926614285714,-73.95636099999999
237,40.7664895,-73.96648716666668
238,40.79202166666667,-73.97029933333333
241,40.87550145454546,-73.89454731818182
245,40.632585551724134,-74.10025289655171
147,40.82012564705882,-73.8981835882353
248,40.835027272727274,-73.87226054545454
253,40.76119627272727,-73.8410488181818
257,40.652946125,-73.978350125
20,40.85875911111111,-73.88706283333335
259,40.898312206896556,-73.85244210344827
148,40.717538999999995,-73.99093763636365
111,40.652726692307695,-73.99036384615384
145,40.74460627999999,-73.94972332
164,40.748456375,-73.984546125
186,40.747471166666664,-73.99194800000001
173,40.75326861538462,-73.86049923076922
178,40.6177818,-73.97127515
41,40.8045301875,-73.94992525
33,40.69680791304348,-73.99620173913046
40,40.67978186666667,-73.99621906666667
59,40.83857788888889,-73.89313933333334
51,40.87320196,-73.82941899999999
1,40.692314720000006,-74.17629756000001
3,40.86409505000001,-73.84578710000001
54,40.6894874,-74.00318546666666
5,40.5552124,-74.18752204999998
6,40.5999456111111,-74.07393358333333
179,40.7714477368421,-73.9279992631579
7,40.76300237931035,-73.92011872413791
9,40.75330809090909,-73.79011654545455
10,40.67992025925926,-73.78859485185185
25,40.685551999999994,-73.98586041666665
12,40.70331757142857,-74.01564328571429
123,40.60008477272727,-73.96396613636365
36,40.698699187500004,-73.9138979375
32,40.86355215384616,-73.86495530769231
13,40.71214092857143,-74.01528735714284
18,40.866914791666666,-73.89062658333332
180,40.6777610625,-73.85045225
14,40.62284128947368,-74.02775102631581
141,40.7667295,-73.95979150000001
19,40.73658699999999,-73.72697760869565
163,40.76466966666666,-73.97774633333333
16,40.762592882352955,-73.76720320588232
17,40.69502194444444,-73.952213
49,40.68985295,-73.96193045
21,40.59884666666667,-73.98403062499999
